product_id,category,brand,Region,City,Store_Preference,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason
FB000001,Accessories,Adidas,East,Kolkata,Boutique,Winter,XS,Brown,2974.97,16.1,2496.0,2025-05-25,107,2.3,True,Damaged
FB000002,Tops,Levis,West,Mumbai,Boutique,Winter,L,Blue,929.87,0.2,928.01,2025-07-25,164,4.7,True,
FB000003,Tops,Allen Solly,North,Kanpur,Boutique,Summer,L,Red,1759.08,15.3,1489.94,2025-04-01,407,2.2,False,
FB000004,Tops,Uniqlo,West,Nagpur,Outlet,Summer,XL,Black,1811.92,35.5,1168.69,2025-11-16,250,4.5,True,Late Delivery
FB000005,Dresses,Zara,Central,Indore,Flagship,Summer,XS,Brown,2789.25,5.9,2624.68,2025-07-31,178,3.9,False,
FB000006,Accessories,Zara,South,Bangalore,Boutique,Summer,S,Brown,1259.48,12.7,1099.53,2025-02-12,342,2.5,True,Size Issue
FB000007,Tops,FabIndia,North,Delhi,Boutique,Spring,XS,Red,2742.92,8.5,2509.77,2025-10-18,498,5.0,True,Color Mismatch
FB000008,Bottoms,Uniqlo,North,Jaipur,Outlet,Winter,L,Black,1223.15,31.8,834.19,2025-04-10,39,2.9,False,
FB000009,Outerwear,Uniqlo,Central,Indore,Flagship,Winter,S,Green,1805.91,13.6,1560.31,2025-08-31,123,3.7,False,
FB000010,Outerwear,H&M,Central,Indore,Flagship,Summer,S,Blue,786.71,48.5,405.16,2025-06-04,125,3.0,False,
FB000011,Bottoms,Allen Solly,West,Pune,Boutique,Winter,XL,Grey,762.98,12.1,670.66,2025-01-21,305,3.3,True,Damaged
FB000012,Shoes,Zara,East,Kolkata,Outlet,Spring,M,White,1179.71,43.0,672.43,2025-10-23,110,2.9,False,
FB000013,Shoes,Levis,West,Surat,Boutique,Summer,XL,Brown,2033.67,13.1,1767.26,2025-09-30,138,4.2,True,Late Delivery
FB000014,Accessories,Adidas,Central,Indore,Boutique,Summer,L,Green,773.07,9.7,698.08,2025-02-25,230,3.5,False,
FB000015,Tops,Uniqlo,North,Kanpur,Boutique,Winter,M,Grey,1090.2,7.3,1010.62,2025-08-02,405,4.8,True,Damaged
FB000016,Shoes,Zara,North,Lucknow,Outlet,Winter,XS,Red,1334.22,39.4,808.54,2025-12-14,12,4.7,False,
FB000017,Accessories,Zara,South,Bangalore,Boutique,Winter,L,Brown,2007.86,13.8,1730.78,2025-04-15,229,4.2,False,
FB000018,Tops,Puma,North,Jaipur,Boutique,Summer,S,Grey,2403.36,18.8,1951.53,2025-09-23,228,2.5,False,
FB000019,Tops,Zara,South,Bangalore,Boutique,Fall,XS,White,2963.31,2.8,2880.34,2025-11-05,157,4.6,True,Damaged
FB000020,Dresses,Nike,East,Kolkata,Flagship,Summer,XL,Red,1475.46,32.5,995.94,2025-01-17,475,4.4,True,Size Issue
FB000021,Dresses,H&M,North,Kanpur,Flagship,Fall,M,Green,2840.12,5.3,2689.59,2025-04-21,222,2.6,False,
FB000022,Dresses,H&M,East,Kolkata,Flagship,Summer,M,Black,2677.68,33.5,1780.66,2025-10-27,299,4.2,True,
