sku,product_category,location_id,location_city,location_type,current_stock,available_stock,reserved_stock,incoming_stock,damaged_stock,store_capacity,product_price,supplier_name,primary_warehouse_id,secondary_warehouse_id,reorder_threshold,reorder_quantity,inventory_status,last_restock_date
SKU0000,haircare,ST008,Ahmedabad,store,44,44,0,14,2,15000,458.77,Supplier 4,WH001,WH003,11,22,Low Stock,2026-02-10
SKU0000,haircare,ST004,Kolkata,store,50,50,0,13,2,22000,458.77,Supplier 4,WH001,WH003,12,25,Healthy,2026-04-30
SKU0000,haircare,ST007,Pune,store,33,33,0,12,1,18000,458.77,Supplier 1,WH001,WH003,8,16,Low Stock,2026-03-14
SKU0000,haircare,ST001,Mumbai,store,49,49,0,34,2,15000,458.77,Supplier 2,WH001,WH003,12,24,Low Stock,2026-03-10
SKU0001,haircare,ST005,Chennai,store,37,37,0,50,3,25000,157.47,Supplier 2,WH001,WH004,9,18,Low Stock,2026-03-16
SKU0001,haircare,ST008,Ahmedabad,store,27,27,0,25,5,15000,157.47,Supplier 4,WH001,WH004,7,14,Low Stock,2026-05-09
SKU0001,haircare,ST001,Mumbai,store,52,52,0,29,1,15000,157.47,Supplier 5,WH001,WH004,13,26,Healthy,2026-04-27
SKU0001,haircare,ST006,Hyderabad,store,36,36,0,50,0,20000,157.47,Supplier 3,WH001,WH004,9,18,Low Stock,2026-03-24
SKU0001,haircare,ST007,Pune,store,25,25,0,16,4,18000,157.47,Supplier 2,WH001,WH004,6,12,Low Stock,2026-05-05
SKU0002,haircare,ST001,Mumbai,store,46,46,0,46,2,15000,131.38,Supplier 5,WH001,WH005,12,23,Low Stock,2026-03-10
SKU0002,haircare,ST007,Pune,store,30,30,0,31,4,18000,131.38,Supplier 3,WH001,WH005,8,15,Low Stock,2026-04-16
SKU0003,haircare,ST001,Mumbai,store,36,36,0,34,5,15000,479.16,Supplier 4,WH001,WH002,9,18,Low Stock,2026-04-24
SKU0003,haircare,ST008,Ahmedabad,store,46,46,0,45,4,15000,479.16,Supplier 5,WH001,WH002,12,23,Low Stock,2026-03-12
SKU0004,haircare,ST007,Pune,store,27,27,0,9,2,18000,358.6,Supplier 3,WH001,WH003,7,14,Low Stock,2026-03-22
SKU0004,haircare,ST001,Mumbai,store,27,27,0,3,4,15000,358.6,Supplier 5,WH001,WH003,7,14,Low Stock,2026-02-10
SKU0004,haircare,ST008,Ahmedabad,store,36,36,0,29,0,15000,358.6,Supplier 2,WH001,WH003,9,18,Low Stock,2026-04-04
SKU0005,haircare,ST008,Ahmedabad,store,50,50,0,20,1,15000,90.78,Supplier 1,WH001,WH004,12,25,Healthy,2026-04-04
SKU0005,haircare,ST007,Pune,store,45,45,0,11,0,18000,90.78,Supplier 1,WH001,WH004,11,22,Low Stock,2026-02-17
SKU0005,haircare,ST001,Mumbai,store,37,37,0,39,3,15000,90.78,Supplier 5,WH001,WH004,9,18,Low Stock,2026-05-04
SKU0006,haircare,ST006,Hyderabad,store,35,35,0,1,1,20000,157.34,Supplier 3,WH001,WH004,9,18,Low Stock,2026-03-26
SKU0006,haircare,ST007,Pune,store,46,46,0,23,3,18000,157.34,Supplier 4,WH001,WH004,12,23,Low Stock,2026-02-17
SKU0006,haircare,ST001,Mumbai,store,26,26,0,47,1,15000,157.34,Supplier 5,WH001,WH004,6,13,Low Stock,2026-05-01
SKU0006,haircare,ST008,Ahmedabad,store,31,31,0,9,5,15000,157.34,Supplier 1,WH001,WH004,8,16,Low Stock,2026-04-21
SKU0007,haircare,ST007,Pune,store,31,31,0,43,5,18000,104.64,Supplier 3,WH001,WH004,8,16,Low Stock,2026-03-05
SKU0007,haircare,ST008,Ahmedabad,store,46,46,0,40,4,15000,104.64,Supplier 2,WH001,WH004,12,23,Low Stock,2026-04-23
SKU0008,haircare,ST004,Kolkata,store,39,39,0,19,0,22000,295.63,Supplier 2,WH001,WH005,10,20,Low Stock,2026-05-03
