sku,product_category,location_id,location_city,location_type,current_stock,available_stock,reserved_stock,incoming_stock,damaged_stock,store_capacity,product_price,supplier_name,primary_warehouse_id,reorder_threshold,reorder_quantity,inventory_status,last_restock_date
SKU0000,haircare,ST007,Pune,store,41,41,0,16,1,18000.0,71.96,Supplier 1,WH001,10,20,Low Stock,2026-05-08
SKU0000,haircare,ST001,Mumbai,store,25,25,0,11,3,15000.0,71.96,Supplier 1,WH001,6,12,Low Stock,2026-05-04
SKU0001,haircare,ST008,Ahmedabad,store,26,26,0,10,3,15000.0,385.67,Supplier 3,WH001,6,13,Low Stock,2026-03-25
SKU0001,haircare,ST007,Pune,store,28,28,0,20,2,18000.0,385.67,Supplier 3,WH001,7,14,Low Stock,2026-05-07
SKU0001,haircare,ST001,Mumbai,store,29,29,0,2,0,15000.0,385.67,Supplier 3,WH001,7,14,Low Stock,2026-05-07
SKU0002,haircare,ST001,Mumbai,store,40,40,0,7,0,15000.0,98.64,Supplier 1,WH001,10,20,Low Stock,2026-04-26
SKU0002,haircare,ST008,Ahmedabad,store,31,31,0,18,0,15000.0,98.64,Supplier 1,WH001,8,16,Low Stock,2026-05-01
SKU0002,haircare,ST007,Pune,store,42,42,0,15,3,18000.0,98.64,Supplier 1,WH001,10,21,Low Stock,2026-04-26
SKU0003,haircare,ST007,Pune,store,40,40,0,12,2,18000.0,217.59,Supplier 5,WH001,10,20,Low Stock,2026-05-07
SKU0003,haircare,ST008,Ahmedabad,store,51,51,0,2,1,15000.0,217.59,Supplier 5,WH001,13,26,Healthy,2026-04-07
SKU0003,haircare,ST001,Mumbai,store,25,25,0,15,0,15000.0,217.59,Supplier 5,WH001,6,12,Low Stock,2026-04-03
SKU0004,haircare,ST008,Ahmedabad,store,46,46,0,5,2,15000.0,201.98,Supplier 1,WH001,12,23,Low Stock,2026-04-17
SKU0004,haircare,ST001,Mumbai,store,36,36,0,19,2,15000.0,201.98,Supplier 1,WH001,9,18,Low Stock,2026-04-23
SKU0004,haircare,ST007,Pune,store,28,28,0,5,0,18000.0,201.98,Supplier 1,WH001,7,14,Low Stock,2026-04-27
SKU0005,haircare,ST007,Pune,store,55,55,0,18,0,18000.0,124.63,Supplier 3,WH001,14,28,Healthy,2026-04-16
SKU0005,haircare,ST001,Mumbai,store,40,40,0,16,3,15000.0,124.63,Supplier 3,WH001,10,20,Low Stock,2026-03-27
SKU0006,haircare,ST007,Pune,store,51,51,0,9,0,18000.0,296.75,Supplier 2,WH001,13,26,Healthy,2026-04-22
SKU0006,haircare,ST008,Ahmedabad,store,46,46,0,9,0,15000.0,296.75,Supplier 2,WH001,12,23,Low Stock,2026-04-12
SKU0006,haircare,ST001,Mumbai,store,32,32,0,5,3,15000.0,296.75,Supplier 2,WH001,8,16,Low Stock,2026-05-04
SKU0007,haircare,ST001,Mumbai,store,55,55,0,20,3,15000.0,127.83,Supplier 4,WH001,14,28,Healthy,2026-05-07
SKU0007,haircare,ST007,Pune,store,55,55,0,6,2,18000.0,127.83,Supplier 4,WH001,14,28,Healthy,2026-04-29
SKU0007,haircare,ST008,Ahmedabad,store,53,53,0,11,3,15000.0,127.83,Supplier 4,WH001,13,26,Healthy,2026-04-07
SKU0008,haircare,ST001,Mumbai,store,46,46,0,4,0,15000.0,400.98,Supplier 5,WH001,12,23,Low Stock,2026-04-22
SKU0008,haircare,ST008,Ahmedabad,store,43,43,0,10,1,15000.0,400.98,Supplier 5,WH001,11,22,Low Stock,2026-04-01
SKU0008,haircare,ST007,Pune,store,38,38,0,8,3,18000.0,400.98,Supplier 5,WH001,10,19,Low Stock,2026-04-30
SKU0009,haircare,ST008,Ahmedabad,store,50,50,0,4,0,15000.0,213.99,Supplier 1,WH001,12,25,Healthy,2026-05-01
SKU0009,haircare,ST007,Pune,store,45,45,0,9,1,18000.0,213.99,Supplier 1,WH001,11,22,Low Stock,2026-04-19
SKU0010,haircare,ST008,Ahmedabad,store,30,30,0,5,3,15000.0,192.56,Supplier 4,WH001,8,15,Low Stock,2026-04-26
SKU0010,haircare,ST001,Mumbai,store,47,47,0,17,0,15000.0,192.56,Supplier 4,WH001,12,24,Low Stock,2026-03-31
SKU0011,haircare,ST001,Mumbai,store,52,52,0,7,2,15000.0,97.34,Supplier 1,WH001,13,26,Healthy,2026-03-25
SKU0011,haircare,ST007,Pune,store,44,44,0,10,0,18000.0,97.34,Supplier 1,WH001,11,22,Low Stock,2026-04-23
SKU0011,haircare,ST008,Ahmedabad,store,37,37,0,4,2,15000.0,97.34,Supplier 1,WH001,9,18,Low Stock,2026-04-20
SKU0012,haircare,ST008,Ahmedabad,store,55,55,0,16,2,15000.0,94.13,Supplier 2,WH001,14,28,Healthy,2026-04-20
SKU0012,haircare,ST007,Pune,store,47,47,0,19,1,18000.0,94.13,Supplier 2,WH001,12,24,Low Stock,2026-05-04
SKU0013,haircare,ST008,Ahmedabad,store,52,52,0,2,0,15000.0,107.51,Supplier 1,WH001,13,26,Healthy,2026-03-29
SKU0013,haircare,ST007,Pune,store,51,51,0,14,0,18000.0,107.51,Supplier 1,WH001,13,26,Healthy,2026-03-26
SKU0013,haircare,ST001,Mumbai,store,45,45,0,14,3,15000.0,107.51,Supplier 1,WH001,11,22,Low Stock,2026-04-05
SKU0014,haircare,ST008,Ahmedabad,store,26,26,0,7,2,15000.0,181.23,Supplier 4,WH001,6,13,Low Stock,2026-04-01
SKU0014,haircare,ST007,Pune,store,51,51,0,12,3,18000.0,181.23,Supplier 4,WH001,13,26,Healthy,2026-04-09
SKU0015,haircare,ST008,Ahmedabad,store,26,26,0,15,1,15000.0,315.91,Supplier 3,WH001,6,13,Low Stock,2026-04-07
SKU0015,haircare,ST001,Mumbai,store,36,36,0,19,1,15000.0,315.91,Supplier 3,WH001,9,18,Low Stock,2026-04-10
SKU0016,haircare,ST001,Mumbai,store,37,37,0,9,3,15000.0,263.0,Supplier 1,WH001,9,18,Low Stock,2026-04-05
SKU0016,haircare,ST007,Pune,store,55,55,0,0,1,18000.0,263.0,Supplier 1,WH001,14,28,Healthy,2026-04-18
SKU0016,haircare,ST008,Ahmedabad,store,31,31,0,9,3,15000.0,263.0,Supplier 1,WH001,8,16,Low Stock,2026-04-29
SKU0017,haircare,ST008,Ahmedabad,store,55,55,0,5,3,15000.0,381.55,Supplier 3,WH001,14,28,Healthy,2026-04-25
SKU0017,haircare,ST007,Pune,store,46,46,0,10,2,18000.0,381.55,Supplier 3,WH001,12,23,Low Stock,2026-03-28
SKU0017,haircare,ST001,Mumbai,store,43,43,0,6,2,15000.0,381.55,Supplier 3,WH001,11,22,Low Stock,2026-05-03
SKU0018,haircare,ST008,Ahmedabad,store,32,32,0,19,2,15000.0,294.9,Supplier 4,WH001,8,16,Low Stock,2026-04-14
SKU0018,haircare,ST001,Mumbai,store,30,30,0,12,3,15000.0,294.9,Supplier 4,WH001,8,15,Low Stock,2026-04-13
SKU0019,haircare,ST008,Ahmedabad,store,44,44,0,8,0,15000.0,142.88,Supplier 5,WH001,11,22,Low Stock,2026-04-26
SKU0019,haircare,ST007,Pune,store,55,55,0,6,0,18000.0,142.88,Supplier 5,WH001,14,28,Healthy,2026-04-16
SKU0020,haircare,ST002,Delhi,store,37,37,0,19,3,20000.0,343.84,Supplier 5,WH002,9,18,Low Stock,2026-03-25
SKU0021,haircare,ST002,Delhi,store,31,31,0,14,2,20000.0,413.04,Supplier 3,WH002,8,16,Low Stock,2026-05-08
SKU0022,haircare,ST002,Delhi,store,34,34,0,6,3,20000.0,55.06,Supplier 5,WH002,8,17,Low Stock,2026-04-13
SKU0023,haircare,ST002,Delhi,store,53,53,0,0,0,20000.0,251.23,Supplier 5,WH002,13,26,Healthy,2026-05-03
SKU0024,haircare,ST002,Delhi,store,40,40,0,10,1,20000.0,335.56,Supplier 5,WH002,10,20,Low Stock,2026-04-21
SKU0025,skincare,ST002,Delhi,store,43,43,0,2,0,20000.0,703.56,Supplier 4,WH002,11,22,Low Stock,2026-04-27
SKU0026,skincare,ST002,Delhi,store,16,16,0,5,0,20000.0,466.41,Supplier 4,WH002,4,8,Critical,2026-04-01
SKU0027,skincare,ST002,Delhi,store,16,16,0,3,1,20000.0,360.57,Supplier 1,WH002,4,8,Critical,2026-04-16
SKU0028,skincare,ST002,Delhi,store,17,17,0,10,1,20000.0,697.72,Supplier 2,WH002,4,8,Critical,2026-04-25
SKU0029,skincare,ST002,Delhi,store,15,15,0,11,3,20000.0,607.12,Supplier 1,WH002,4,8,Critical,2026-04-08
SKU0030,skincare,ST002,Delhi,store,21,21,0,20,0,20000.0,722.6,Supplier 3,WH002,5,10,Low Stock,2026-04-19
SKU0031,skincare,ST002,Delhi,store,20,20,0,19,2,20000.0,216.39,Supplier 3,WH002,5,10,Low Stock,2026-03-31
SKU0032,skincare,ST002,Delhi,store,44,44,0,17,3,20000.0,470.98,Supplier 1,WH002,11,22,Low Stock,2026-04-25
SKU0033,skincare,ST002,Delhi,store,38,38,0,11,0,20000.0,594.34,Supplier 4,WH002,10,19,Low Stock,2026-04-23
SKU0034,skincare,ST002,Delhi,store,33,33,0,4,0,20000.0,497.52,Supplier 3,WH002,8,16,Low Stock,2026-04-11
SKU0035,skincare,ST002,Delhi,store,38,38,0,3,1,20000.0,115.62,Supplier 5,WH002,10,19,Low Stock,2026-04-04
SKU0036,skincare,ST002,Delhi,store,36,36,0,13,3,20000.0,162.06,Supplier 3,WH002,9,18,Low Stock,2026-04-07
SKU0037,skincare,ST002,Delhi,store,41,41,0,12,1,20000.0,111.82,Supplier 3,WH002,10,20,Low Stock,2026-04-07
SKU0038,skincare,ST002,Delhi,store,40,40,0,10,3,20000.0,796.94,Supplier 4,WH002,10,20,Low Stock,2026-04-19
SKU0039,skincare,ST002,Delhi,store,27,27,0,1,0,20000.0,480.5,Supplier 1,WH002,7,14,Low Stock,2026-03-27
SKU0040,skincare,ST003,Bangalore,store,22,22,0,17,3,18000.0,560.07,Supplier 4,WH003,6,11,Low Stock,2026-03-26
SKU0041,skincare,ST003,Bangalore,store,26,26,0,12,3,18000.0,743.04,Supplier 2,WH003,6,13,Low Stock,2026-03-31
SKU0042,skincare,ST003,Bangalore,store,38,38,0,14,0,18000.0,487.15,Supplier 2,WH003,10,19,Low Stock,2026-04-26
