transaction_id,transaction_date,sku,product_category,store_id,warehouse_id,quantity_sold,unit_price,total_sales,reorder_threshold,expected_delivery_date,actual_delivery_date,delivery_status,supplier_name
TXN000001,2025-01-01,SKU0000,haircare,ST008,WH001,6,458.77,2752.62,11,2025-01-04,2025-01-04,on_time,Supplier 4
TXN000002,2025-01-03,SKU0000,haircare,ST008,WH001,8,458.77,3670.16,11,2025-01-07,2025-01-09,delayed,Supplier 4
TXN000003,2025-01-04,SKU0000,haircare,ST008,WH001,9,458.77,4128.93,11,2025-01-10,2025-01-10,on_time,Supplier 4
TXN000004,2025-01-05,SKU0000,haircare,ST008,WH001,9,458.77,4128.93,11,2025-01-08,2025-01-11,delayed,Supplier 4
TXN000005,2025-01-06,SKU0000,haircare,ST008,WH001,5,458.77,2293.85,11,2025-01-08,2025-01-11,delayed,Supplier 4
TXN000006,2025-01-07,SKU0000,haircare,ST008,WH001,2,458.77,917.54,11,2025-01-10,2025-01-10,on_time,Supplier 4
TXN000007,2025-01-08,SKU0000,haircare,ST008,WH001,3,458.77,1376.31,11,2025-01-13,2025-01-13,on_time,Supplier 4
TXN000008,2025-01-09,SKU0000,haircare,ST008,WH001,4,458.77,1835.08,11,2025-01-13,2025-01-13,on_time,Supplier 4
TXN000009,2025-01-10,SKU0000,haircare,ST008,WH001,5,458.77,2293.85,11,2025-01-13,2025-01-13,on_time,Supplier 4
TXN000010,2025-01-12,SKU0000,haircare,ST008,WH001,2,458.77,917.54,11,2025-01-15,2025-01-15,on_time,Supplier 4
TXN000011,2025-01-13,SKU0000,haircare,ST008,WH001,4,458.77,1835.08,11,2025-01-19,2025-01-19,on_time,Supplier 4
TXN000012,2025-01-14,SKU0000,haircare,ST008,WH001,4,458.77,1835.08,11,2025-01-19,2025-01-19,on_time,Supplier 4
TXN000013,2025-01-15,SKU0000,haircare,ST008,WH001,1,458.77,458.77,11,2025-01-19,2025-01-19,on_time,Supplier 4
TXN000014,2025-01-16,SKU0000,haircare,ST008,WH001,2,458.77,917.54,11,2025-01-20,2025-01-23,delayed,Supplier 4
TXN000015,2025-01-17,SKU0000,haircare,ST008,WH001,4,458.77,1835.08,11,2025-01-19,2025-01-22,delayed,Supplier 4
TXN000016,2025-01-18,SKU0000,haircare,ST008,WH001,8,458.77,3670.16,11,2025-01-23,2025-01-23,on_time,Supplier 4
TXN000017,2025-01-19,SKU0000,haircare,ST008,WH001,7,458.77,3211.39,11,2025-01-21,2025-01-21,on_time,Supplier 4
TXN000018,2025-01-20,SKU0000,haircare,ST008,WH001,3,458.77,1376.31,11,2025-01-24,2025-01-24,on_time,Supplier 4
TXN000019,2025-01-21,SKU0000,haircare,ST008,WH001,8,458.77,3670.16,11,2025-01-26,2025-01-26,on_time,Supplier 4
TXN000020,2025-01-22,SKU0000,haircare,ST008,WH001,4,458.77,1835.08,11,2025-01-28,2025-01-28,on_time,Supplier 4
TXN000021,2025-01-23,SKU0000,haircare,ST008,WH001,8,458.77,3670.16,11,2025-01-28,2025-01-28,on_time,Supplier 4
TXN000022,2025-01-24,SKU0000,haircare,ST008,WH001,6,458.77,2752.62,11,2025-01-29,2025-01-29,on_time,Supplier 4
TXN000023,2025-01-25,SKU0000,haircare,ST008,WH001,9,458.77,4128.93,11,2025-01-30,2025-01-30,on_time,Supplier 4
TXN000024,2025-01-26,SKU0000,haircare,ST008,WH001,6,458.77,2752.62,11,2025-01-30,2025-01-30,on_time,Supplier 4
TXN000025,2025-01-27,SKU0000,haircare,ST008,WH001,5,458.77,2293.85,11,2025-01-29,2025-01-29,on_time,Supplier 4
TXN000026,2025-01-28,SKU0000,haircare,ST008,WH001,4,458.77,1835.08,11,2025-02-01,2025-02-01,on_time,Supplier 4
TXN000027,2025-01-29,SKU0000,haircare,ST008,WH001,5,458.77,2293.85,11,2025-02-03,2025-02-03,on_time,Supplier 4
TXN000028,2025-01-30,SKU0000,haircare,ST008,WH001,4,458.77,1835.08,11,2025-02-05,2025-02-05,on_time,Supplier 4
TXN000029,2025-02-01,SKU0000,haircare,ST008,WH001,6,458.77,2752.62,11,2025-02-04,2025-02-04,on_time,Supplier 4
TXN000030,2025-02-02,SKU0000,haircare,ST008,WH001,7,458.77,3211.39,11,2025-02-07,2025-02-10,delayed,Supplier 4
TXN000031,2025-02-03,SKU0000,haircare,ST008,WH001,5,458.77,2293.85,11,2025-02-07,2025-02-07,on_time,Supplier 4
TXN000032,2025-02-04,SKU0000,haircare,ST008,WH001,4,458.77,1835.08,11,2025-02-08,2025-02-08,on_time,Supplier 4
TXN000033,2025-02-06,SKU0000,haircare,ST008,WH001,5,458.77,2293.85,11,2025-02-10,2025-02-10,on_time,Supplier 4
TXN000034,2025-02-08,SKU0000,haircare,ST008,WH001,5,458.77,2293.85,11,2025-02-11,2025-02-11,on_time,Supplier 4
TXN000035,2025-02-09,SKU0000,haircare,ST008,WH001,6,458.77,2752.62,11,2025-02-12,2025-02-12,on_time,Supplier 4
TXN000036,2025-02-10,SKU0000,haircare,ST008,WH001,2,458.77,917.54,11,2025-02-12,2025-02-12,on_time,Supplier 4
TXN000037,2025-02-11,SKU0000,haircare,ST008,WH001,5,458.77,2293.85,11,2025-02-15,2025-02-15,on_time,Supplier 4
TXN000038,2025-02-12,SKU0000,haircare,ST008,WH001,6,458.77,2752.62,11,2025-02-16,2025-02-16,on_time,Supplier 4
TXN000039,2025-02-13,SKU0000,haircare,ST008,WH001,6,458.77,2752.62,11,2025-02-17,2025-02-17,on_time,Supplier 4
TXN000040,2025-02-14,SKU0000,haircare,ST008,WH001,7,458.77,3211.39,11,2025-02-17,2025-02-17,on_time,Supplier 4
TXN000041,2025-02-15,SKU0000,haircare,ST008,WH001,4,458.77,1835.08,11,2025-02-17,2025-02-19,delayed,Supplier 4
TXN000042,2025-02-16,SKU0000,haircare,ST008,WH001,7,458.77,3211.39,11,2025-02-20,2025-02-20,on_time,Supplier 4
TXN000043,2025-02-17,SKU0000,haircare,ST008,WH001,2,458.77,917.54,11,2025-02-23,2025-02-23,on_time,Supplier 4
TXN000044,2025-02-18,SKU0000,haircare,ST008,WH001,3,458.77,1376.31,11,2025-02-24,2025-02-24,on_time,Supplier 4
TXN000045,2025-02-19,SKU0000,haircare,ST008,WH001,6,458.77,2752.62,11,2025-02-23,2025-02-23,on_time,Supplier 4
TXN000046,2025-02-20,SKU0000,haircare,ST008,WH001,10,458.77,4587.7,11,2025-02-26,2025-02-26,on_time,Supplier 4
TXN000047,2025-02-21,SKU0000,haircare,ST008,WH001,4,458.77,1835.08,11,2025-02-27,2025-02-27,on_time,Supplier 4
TXN000048,2025-02-22,SKU0000,haircare,ST008,WH001,7,458.77,3211.39,11,2025-02-28,2025-02-28,on_time,Supplier 4
TXN000049,2025-02-23,SKU0000,haircare,ST008,WH001,6,458.77,2752.62,11,2025-02-26,2025-02-26,on_time,Supplier 4
TXN000050,2025-02-25,SKU0000,haircare,ST008,WH001,2,458.77,917.54,11,2025-02-28,2025-02-28,on_time,Supplier 4
TXN000051,2025-02-26,SKU0000,haircare,ST008,WH001,5,458.77,2293.85,11,2025-03-01,2025-03-01,on_time,Supplier 4
TXN000052,2025-02-27,SKU0000,haircare,ST008,WH001,8,458.77,3670.16,11,2025-03-05,2025-03-08,delayed,Supplier 4
TXN000053,2025-02-28,SKU0000,haircare,ST008,WH001,7,458.77,3211.39,11,2025-03-05,2025-03-05,on_time,Supplier 4
TXN000054,2025-03-02,SKU0000,haircare,ST008,WH001,9,458.77,4128.93,11,2025-03-06,2025-03-06,on_time,Supplier 4
TXN000055,2025-03-03,SKU0000,haircare,ST008,WH001,5,458.77,2293.85,11,2025-03-08,2025-03-11,delayed,Supplier 4
TXN000056,2025-03-04,SKU0000,haircare,ST008,WH001,6,458.77,2752.62,11,2025-03-06,2025-03-06,on_time,Supplier 4
TXN000057,2025-03-05,SKU0000,haircare,ST008,WH001,8,458.77,3670.16,11,2025-03-10,2025-03-10,on_time,Supplier 4
TXN000058,2025-03-06,SKU0000,haircare,ST008,WH001,5,458.77,2293.85,11,2025-03-12,2025-03-12,on_time,Supplier 4
TXN000059,2025-03-07,SKU0000,haircare,ST008,WH001,14,458.77,6422.78,11,2025-03-10,2025-03-11,delayed,Supplier 4
TXN000060,2025-03-09,SKU0000,haircare,ST008,WH001,6,458.77,2752.62,11,2025-03-11,2025-03-11,on_time,Supplier 4
TXN000061,2025-03-10,SKU0000,haircare,ST008,WH001,9,458.77,4128.93,11,2025-03-16,2025-03-16,on_time,Supplier 4
TXN000062,2025-03-11,SKU0000,haircare,ST008,WH001,6,458.77,2752.62,11,2025-03-17,2025-03-17,on_time,Supplier 4
TXN000063,2025-03-12,SKU0000,haircare,ST008,WH001,8,458.77,3670.16,11,2025-03-14,2025-03-14,on_time,Supplier 4
TXN000064,2025-03-15,SKU0000,haircare,ST008,WH001,6,458.77,2752.62,11,2025-03-21,2025-03-21,on_time,Supplier 4
TXN000065,2025-03-17,SKU0000,haircare,ST008,WH001,5,458.77,2293.85,11,2025-03-20,2025-03-20,on_time,Supplier 4
TXN000066,2025-03-18,SKU0000,haircare,ST008,WH001,8,458.77,3670.16,11,2025-03-21,2025-03-21,on_time,Supplier 4
TXN000067,2025-03-19,SKU0000,haircare,ST008,WH001,7,458.77,3211.39,11,2025-03-22,2025-03-25,delayed,Supplier 4
TXN000068,2025-03-20,SKU0000,haircare,ST008,WH001,9,458.77,4128.93,11,2025-03-24,2025-03-24,on_time,Supplier 4
TXN000069,2025-03-21,SKU0000,haircare,ST008,WH001,5,458.77,2293.85,11,2025-03-23,2025-03-23,on_time,Supplier 4
TXN000070,2025-03-22,SKU0000,haircare,ST008,WH001,8,458.77,3670.16,11,2025-03-27,2025-03-29,delayed,Supplier 4
